plate,well,row,col,species,stages,strains,treatment,conc,other,ImageNumber,ObjectNumber,worm?,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Researcher,Metadata_Series,FileName_RawImage,FileName_WellMask,PathName_RawImage,PathName_WellMask,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity
202111125-p01-NJW_1014,A01,A,1,Cel,Adult,N2,ML 228,5uM,48hr,68,1,N,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_A01.TIF,0,p01,NJW,0,TimePoint_1/202111125-p01-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,5205,6069,21,296,0,7,10.13698367,150.067243,6.07505362,0.997340188,81.40768901,1,0.857637173,0.164607601,302.8217855,288.0017361,11,5.03149875,5,20,22.07184139,-0.066591089,630.3624817,0.955396476
202111125-p01-NJW_1014,A01,A,1,Cel,Adult,N2,ML 228,5uM,48hr,68,2,N,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_A01.TIF,0,p01,NJW,0,TimePoint_1/202111125-p01-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,2031,2394,42,121,21,7,31.13638602,63.26686361,2.603661577,0.983230954,50.85223216,1,0.848370927,0.384074493,119.522348,113.039816,11,4.889537023,5,20,21.79665925,-0.16151821,257.7817459,0.956214689
202111125-p01-NJW_1014,A01,A,1,Cel,Adult,N2,ML 228,5uM,48hr,68,3,Y,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_A01.TIF,0,p01,NJW,0,TimePoint_1/202111125-p01-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,2469,2919,63,146,42,7,51.49493722,75.94208181,3.150582982,0.988455759,56.06806966,1,0.845837616,0.317401575,144.6034858,138.0036231,10.19803903,4.976383801,5,20,21.90884142,0.04079648,312.6518036,0.961448598
202111125-p01-NJW_1014,A01,A,1,Cel,Adult,N2,ML 228,5uM,48hr,68,4,Y,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_A01.TIF,0,p01,NJW,0,TimePoint_1/202111125-p01-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,2030,2394,84,121,63,7,72.99753695,63.09359606,2.503463618,0.982002767,50.8397116,1,0.847953216,0.399446588,117.3022976,113.0176977,11,5.022283606,5,20,22.15447751,0.063829013,252.7106781,0.96345515
202111125-p01-NJW_1014,A01,A,1,Cel,Adult,N2,ML 228,5uM,48hr,68,5,Y,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_A01.TIF,0,p01,NJW,0,TimePoint_1/202111125-p01-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,2497,2919,105,146,84,7,93.85863036,76.04645575,3.027090988,0.988331426,56.38509682,1,0.855429942,0.330350163,145.0206044,138.0326048,11,5.026449244,5,20,22.08935319,0.005940445,308.1959595,0.956704981
202111125-p01-NJW_1014,A01,A,1,Cel,Adult,N2,ML 228,5uM,48hr,68,6,Y,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_A01.TIF,0,p01,NJW,0,TimePoint_1/202111125-p01-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,2152,2541,126,128,105,7,114.598513,66.64033457,2.808313449,0.984613258,52.34511916,1,0.846910665,0.356085607,125.7531717,120.0041666,10.77032961,4.975868015,5,20,21.97506817,-0.116862682,275.5807358,0.95985727
202111125-p01-NJW_1014,A01,A,1,Cel,Adult,N2,ML 228,5uM,48hr,68,7,M,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_A01.TIF,0,p01,NJW,0,TimePoint_1/202111125-p01-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,4282,4977,147,244,126,7,135.9058851,125.2473143,5.000744715,0.995981348,73.8377392,1,0.860357645,0.199970216,247.6959418,236,11,5.076338603,5,20,22.18387051,0.008476429,518.7350647,0.954738016
202111125-p01-NJW_1014,A01,A,1,Cel,Adult,N2,ML 228,5uM,48hr,68,8,N,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_A01.TIF,0,p01,NJW,0,TimePoint_1/202111125-p01-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,1788,2079,168,106,147,7,157.1241611,56.37863535,2.335782773,0.976740132,47.71322988,1,0.86002886,0.428122003,103.4690116,98.02040604,11,4.987328909,5,20,22.18649578,-0.463060063,229.0893578,0.957173448
202111125-p01-NJW_1014,A01,A,1,Cel,Adult,N2,ML 228,5uM,48hr,68,9,N,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_A01.TIF,0,p01,NJW,0,TimePoint_1/202111125-p01-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,2085,3087,189,154,168,7,178.2311751,85.99088729,3.964287264,0.990631586,51.52382411,2,0.675413022,0.252252154,159.6644634,146,10.77032961,4.500389631,4,20,21.80402875,-0.109784487,322.2853173,0.753796095
202111125-p01-NJW_1014,A01,A,1,Cel,Adult,N2,ML 228,5uM,48hr,68,10,N,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_A01.TIF,0,p01,NJW,0,TimePoint_1/202111125-p01-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,2055,2394,210,121,189,7,198.7167883,62.62676399,2.650974415,0.98259819,51.15180607,1,0.85839599,0.377219785,119.5149791,113.0176977,11,4.957852659,5,20,22.19917853,0.49596196,261.645707,0.949191686
202111125-p01-NJW_1014,A01,A,1,Cel,Adult,N2,ML 228,5uM,48hr,68,11,N,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_A01.TIF,0,p01,NJW,0,TimePoint_1/202111125-p01-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,2369,3465,231,172,210,7,219.6715914,93.43773744,4.185786374,0.993313595,54.92089294,2,0.683694084,0.238903735,186.6147837,164,10.19803903,4.503374791,4,20,21.54419093,-0.640107311,353.001046,0.767163212
202111125-p01-NJW_1014,A01,A,1,Cel,Adult,N2,ML 228,5uM,48hr,68,12,N,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_A01.TIF,0,p01,NJW,0,TimePoint_1/202111125-p01-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,911,1869,252,96,231,7,241.3732162,56.33699232,3.173685666,0.981880534,34.05761626,2,0.487426431,0.315091066,112.915455,88,10,3.683242365,3.16227766,20,21.39758777,0.348462149,190.6101731,0.544530783
