plate,well,row,col,species,stages,strains,treatment,conc,other,ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Researcher,Metadata_Series,FileName_RawImage,FileName_WellMask,PathName_RawImage,PathName_WellMask,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,1,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3567,4179,21,206,0,7,9.714045416316232,106.28455284552845,4.030089816898709,0.9943635627549912,67.39173136275937,1,0.8535534816941852,0.24813342764889887,207.6770538111217,198.00252523642217,11,5.108492342762307,5,20,22.018768102573283,0.011705119526649413,425.02438661763944,0.9588709677419355
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,2,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3836,4473,42,220,21,7,30.970542231491137,112.82325338894682,4.394158431084146,0.9950256513860393,69.88667178800321,1,0.8575899843505478,0.22757486232768254,222.04854114231878,212,11,5.099938643156821,5,20,22.12026244991459,0.012478838717249289,460.237590053236,0.9558933466234737
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,3,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,1920,3675,63,182,42,7,51.66354166666667,80.13020833333333,5.90838647355289,0.9935586739529666,49.443097858968265,3,0.5224489795918368,0.16925094600297363,188.8857835820643,174.0258601472781,10,3.8850963283174353,3.1622776601683795,20,21.404319483085864,-0.46906963257113826,377.5634918610404,0.5949798574527425
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,4,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,928,2058,84,105,63,7,72.71120689655173,50.942887931034484,2.8541423019322583,0.987048381564376,34.37391885593249,2,0.4509232264334305,0.35036795443695945,127.70635351866606,97.0051545022222,9.486832980505138,3.7429259420707943,3.1622776601683795,20,20.48701785093343,0.5027893296068592,182.43860018001263,0.5204711160964667
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,5,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,2932,4956,105,243,84,7,94.19406548431105,137.99522510231924,6.647256884252717,0.9966865727479132,61.09941362372881,3,0.5916061339790153,0.15043799531337348,267.02914864980846,235.00212764994276,10.198039027185569,4.168431816350692,4,20,21.719625855379665,0.0868555139958242,494.88939366884495,0.6556350626118068
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,6,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,2310,4914,126,241,105,7,114.37056277056277,109.17402597402598,7.605835023698593,0.9948752657453904,54.23267786434878,6,0.4700854700854701,0.13147800299167103,220.0502578127351,233.0085835328819,11,4.0448042935777835,3.1622776601683795,20,22.249252739601225,-1.115174839031576,469.8772003600252,0.5399719495091164
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,7,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3685,6615,147,322,126,7,136.35359565807326,148.9910447761194,9.332082769764646,0.9980496379612318,68.49735558654126,6,0.5570672713529856,0.10715721502598931,348.73877823998106,314.00159235265033,11,4.191925435771071,4,20,21.77012867820417,0.34272467481005836,657.3746750430835,0.6198486122792263
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,8,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3414,3969,168,196,147,7,156.81927357937903,101.81927357937903,4.20695979815379,0.9936670418440776,65.93056806767136,1,0.8601662887377173,0.23770134443377536,197.3264242799851,188.01063799689632,11,5.044821000334464,5,20,22.17251054614706,0.056674597474376746,424.83556979968256,0.9592582186007306
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,9,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3893,4515,189,222,168,7,177.6740303108143,114.75545851528385,4.864905048105713,0.9951639890516771,70.40398815162384,1,0.8622369878183832,0.20555385770363144,225.52983156263022,214.02102700435768,11,5.004968522098383,5,20,22.153223652836676,0.00146169463240066,487.84776310850236,0.9591032273959104
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,10,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,6313,7371,210,358,189,7,198.68129257088546,182.55013464280057,7.1515212283389795,0.9982293410284482,89.65467776927807,1,0.8564645231311898,0.13983038965714725,368.9670133770861,350.0057142390678,11,5.04425658877642,5,20,21.94712659648803,0.10310587273736899,753.2203461105329,0.9478978978978979
